legislator,pic,chamber,party,district,counties,#msleg experience,chair_of,vice_chair_of:,cmtes,bill(s)_authored,gov_email,capitol_phone,pic_url,bio
Brent Powell,powell.jpg (https://dl.airtable.com/vobXwCR2QHSKOU13vZ2k_powell.jpg),house,R,59,Rankin,,,,House Jud. A,HB1183,bpowell@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Powell.jpg,
John Read,Read.jpg (https://dl.airtable.com/bnixO5xQB2UIUHqSLAQa_Read.jpg),house,R,112,Jackson,House 1993-present,,House Rules,,,,,http://billstatus.ls.state.ms.us/members/house/Read.jpg,
Thomas U. Reynolds,Reynolds.jpg (https://dl.airtable.com/PMUm1uQJQZeQxFUbbQY3_Reynolds.jpg),house,D,33,"Grenada,Tallahatchie,Yalobusha",House 1980-present,,,House Jud. A,"HB0205,HB0276,HB0419,HB1345,HB1449",,,http://billstatus.ls.state.ms.us/members/house/Reynolds.jpg,
Rob Roberson,Roberson.jpg (https://dl.airtable.com/HbWaiuuCRJejiehFh0fj_Roberson.jpg),house,R,43,"Oktibbeha,Winston","House 1998-2003,House 2016-present",,,House Jud. A,HB0754,,,http://billstatus.ls.state.ms.us/members/house/Roberson.jpg,
Margaret Rogers,rogers_(14th).jpg (https://dl.airtable.com/n1mWAI3eQseC8iaiU3ws_rogers_(14th).jpg),house,R,14,Union,House 2004-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/rogers_(14th).jpg,
Ray Rogers,rogers_(61st).jpg (https://dl.airtable.com/bzbLgw7LTamOhaRp7Fut_rogers_(61st).jpg),house,R,61,Rankin,House 1984-present,,,,HB0742,,,http://billstatus.ls.state.ms.us/members/house/rogers_(61st).jpg,
Randy Rushing,Rushing.jpg (https://dl.airtable.com/s5Ar6yHTIujZQeVdNH4W_Rushing.jpg),house,R,78,"Leake,Newton,Scott",House 2012-present,,,House Corrections,"HB1000,HB1028,HB1371,HB1450",,,http://billstatus.ls.state.ms.us/members/house/Rushing.jpg,
Noah Sanford,sanford.jpg (https://dl.airtable.com/LVu61KXlSS6ZNVyCPoBz_sanford.jpg),house,R,90,"Covington,JeffDavis,Simpson",House 2016-present,,,House Jud. B,HB0243,NSanford@house.ms.gov,(601) 359-9489,http://billstatus.ls.state.ms.us/members/house/Sanford.jpg,http://billstatus.ls.state.ms.us/members/house/Sanford.xml
Donnie Scoggin,scoggin.jpg (https://dl.airtable.com/V0kprYOyTu6zKek3PFBQ_scoggin.jpg),house,R,89,Jones,House 2017-present,,,House Jud. B,,DScoggin@house.ms.gov,n/a,http://billstatus.ls.state.ms.us/members/house/Scoggin.jpg,http://billstatus.ls.state.ms.us/members/house/Scoggin.xml
Omeria Scott,Scott.jpg (https://dl.airtable.com/eSeM5Q5GS5W1SAaElq2a_Scott.jpg),house,D,80,"Clarke,Jasper,Jones",House 1993-present,,,House Medicaid,"HB0172,HB0583,HB0438,HB0439,HB0458,HB0462,HB0463,HB0471,HB0484,HB0472,HB0475,HB0483,HB0513,HB0515,HB1456,HB1460",,,http://billstatus.ls.state.ms.us/members/house/Scott.jpg,
William Shirley,shirley.jpg (https://dl.airtable.com/iPMnfFVwQDOwPdW01zQU_shirley.jpg),house,R,84,"Clarke,Jasper,Newton",House 2012-present,,,"House Jud. B,House Medicaid","HB0172,HB0097,HB1453",WShirley@house.ms.gov,(601) 359-2434,http://billstatus.ls.state.ms.us/members/house/Shirley.jpg,http://billstatus.ls.state.ms.us/members/house/Shirley.xml
Jeffrey C. Smith,smith.jpg (https://dl.airtable.com/HQcJnNTsR4mlryUJFAci_smith.jpg),house,R,,"Lowndes,Monroe",,,,House Jud. A,HB0350,jsmith@house.ms.gov,(601) 359-3343,http://billstatus.ls.state.ms.us/members/house/Smith.jpg,
Greg Snowden,snowden.jpg (https://dl.airtable.com/Kulsv90zSESD3z9DKFjE_snowden.jpg),house,R,,Lauderdale,,,,House Jud. A,HB0585,gsnowden@house.ms.gov,(601) 359-3304,http://billstatus.ls.state.ms.us/members/house/Snowden.jpg,
Gary V. Staples,Staples.jpg (https://dl.airtable.com/lV8A49aRQay5OUV8yGCz_Staples.jpg),house,R,88,"Jasper,Jones","House 1988-1992,House 2004-present",,,,"HB0969,HB1002",,,http://billstatus.ls.state.ms.us/members/house/Staples.jpg,
Jody Steverson,Steverson.jpg (https://dl.airtable.com/jd4WmUNTSBaYX1QqQgif_Steverson.jpg),house,R,4,"Alcorn,Tippah",House 2012-present,,,,HB0413,,,http://billstatus.ls.state.ms.us/members/house/Steverson.jpg,
Rufus Straughter,Straughter.jpg (https://dl.airtable.com/5KxhCRteQAuQ4FErRf3M_Straughter.jpg),house,D,51,"Humphreys,Sharkey,Yazoo",House 1996-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Straughter.jpg,
Preston E. Sullivan,Sullivan.jpg (https://dl.airtable.com/UDvxe70RThqFfUywk79A_Sullivan.jpg),house,D,22,"Chickasaw,Pontotoc",House 2004-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Sullivan.jpg,
Kathy Sykes,Sykes.jpg (https://dl.airtable.com/LiZak2H9QIqTjnuWOkWR_Sykes.jpg),house,D,70,Hinds,House 2016-present,,,"House Drug Policy,House Tech. Comm.",HB0094,,,http://billstatus.ls.state.ms.us/members/house/Sykes.jpg,
Cheikh Taylor,,house,,38,,,,,,,,,http://billstatus.ls.state.ms.us/members/house/Taylor.jpg,
Sara R. Thomas,Thomas.jpg (https://dl.airtable.com/8ZMcuFw4SxSCE72f7SEu_Thomas.jpg),house,D,31,"Bolivar,Humphreys,Sunflower,Washington",House 1998-present,,,,HB1390,sthomas@house.ms.gov,(601) 359-9492,http://billstatus.ls.state.ms.us/members/house/Thomas.jpg,
Brad Touchstone,touchstone.jpg (https://dl.airtable.com/tbSpklQRnWYrFKfTiV0d_touchstone.jpg),house,R,101,Lamar,,,,"House Drug Policy,House Jud. A","HB1292,HB0138,HB0808,HB1047,HB1061,HB1220",btouchstone@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Touchstone.jpg,
Mark Tullos,tullos.jpg (https://dl.airtable.com/DR5ncJ6MRgmV8hlSlNMA_tullos.jpg),house,R,,"Jasper,Smith",,,,"House Corrections,House Jud. A",HB1030,mtullos@house.ms.gov,(601) 359-2431,http://billstatus.ls.state.ms.us/members/house/Tullos.jpg,
Jerry R. Turner,turner.jpg (https://dl.airtable.com/Xyldl1NtSa8UKlSuG5xl_turner.jpg),house,R,,"Lee,Prentiss,Union",,House AET,,House AET,"HB0842,HB0843,HB0956,HB1137,HB1184",jturner@house.ms.gov,(601) 359-9473,http://billstatus.ls.state.ms.us/members/house/Turner.jpg,
Kenneth Walker,Walker.jpg (https://dl.airtable.com/GlDVvh0TK3bX2Yp80g0H_Walker.jpg),house,D,27,"Attala,Leake,Madison,Yazoo",House 2016-present,,,House Tech. Comm.,,,,http://billstatus.ls.state.ms.us/members/house/Walker.jpg,
Percy W. Watson,Watson.jpg (https://dl.airtable.com/PZX9GbSt2aLcadTGNMjQ_Watson.jpg),house,D,103,Forrest,House 1980-present,,,House Jud. A,"HB0383,HB0385,HB1290,HB1298",,,http://billstatus.ls.state.ms.us/members/house/Watson.jpg,
Tom Weathersby,Weathersby.jpg (https://dl.airtable.com/AVxOTYeHShSaTLofpJDr_Weathersby.jpg),house,R,62,"Copiah,Rankin,Simpson",House 1992-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Weathersby.jpg,
Jason White,white.jpg (https://dl.airtable.com/e3VkVdsISoWiYnHwEehv_white.jpg),house,R,48,"Attala,Carroll,Holmes,Leake",House 2012-present,House Rules,,"House Jud. B,House Medicaid","HB0559,HB0560,HB0479,HB0877,HB0879,HB0883,HB0889,HB0892,HB0902,HB0999,HB1034",JWhite@house.ms.gov,(601) 359-3359,http://billstatus.ls.state.ms.us/members/house/White.jpg,http://billstatus.ls.state.ms.us/members/house/White.xml
Stacey Wilkes,wilkes.jpg (https://dl.airtable.com/RJPSWd6ATT2KwLO7Hz3s_wilkes.jpg),house,R,108,PearlRiver,,,,,HB1052,swilkes@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Wilkes.jpg,
Sonya Williams-Barnes,williams-barnes.jpg (https://dl.airtable.com/LWfYqLgkRt2XzWSh52GA_williams-barnes.jpg),house,D,119,Harrison,,,,,"HB0816,HB0818",swilliams-barnes@house.ms.gov,(601) 359-4074,http://billstatus.ls.state.ms.us/members/house/williams-barnes.jpg,
Patricia H. Willis,willis.jpg (https://dl.airtable.com/aR2t8pXBTeinNFQH0xh4_willis.jpg),house,R,95,"Hancock,Harrison",House 2013-present,House Drug Policy,,"House Corrections,House Drug Policy,House Jud. B","HB0614,HB0615,HB0616,HB1369,HB1402,HB1403,HB1404,HB1405,HB0974,HB0997,HB0998,HB1020,HB1288",PWillis@house.ms.gov,(601) 359-3744,http://billstatus.ls.state.ms.us/members/house/Willis.jpg,http://billstatus.ls.state.ms.us/members/house/Willis.xml
Cory Wilson,wilson.jpg (https://dl.airtable.com/ldQ6Tjd5RIKaQjJ8wJFx_wilson.jpg),house,R,73,Madison,,,House Jud. A,"House AET,House Jud. A",,cwilson@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Wilson.jpg,
Adrienne Wooten,wooten.jpg (https://dl.airtable.com/jNSDxNQNFuXyn5DyVJAp_wooten.jpg),house,D,71,Hinds,House 2008-present,,,House Jud. B,"HB1314,HB0672,HB0561,HB0573,HB1291,HB1292,HB1319",adrienneahooper@yahoo.com,(601) 359-2433,http://billstatus.ls.state.ms.us/members/house/Wooten.jpg,http://billstatus.ls.state.ms.us/members/house/Wooten.xml
"Charles Young, Jr.",young.jpg (https://dl.airtable.com/TDAcRPUpRAuHThnWoVG1_young.jpg),house,D,,Lauderdale,,,,"House Corrections,House Medicaid",HB0590,cyoung@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Young .jpg,
Henry Zuber III,zuber.jpg (https://dl.airtable.com/QVzuEd7qRoSnHXxISbPA_zuber.jpg),house,R,113,Jackson,House 2000-present,,,"House Jud. B,House Medicaid","HB0603,HB0574,HB1104,HB1193",HZuber@house.ms.gov,(601) 359-3328,http://billstatus.ls.state.ms.us/members/house/Zuber.jpg,http://billstatus.ls.state.ms.us/members/house/Zuber.xml
Juan Barnett,barnett.jpg (https://dl.airtable.com/3fT8C5LMSkySZiKrX0Yt_barnett.jpg),senate,D,34,"Forrest,Jasper,Jones",Sen. 2016-present,,,Sen. Jud. A,"SB2656,SB2450",jbarnett@senate.ms.gov,(601) 359-3221,http://billstatus.ls.state.ms.us/members/senate/Barnett.jpg,http://billstatus.ls.state.ms.us/members/senate/Barnett.xml
Barbara Blackmon,blackmon.jpg (https://dl.airtable.com/TYAYIOUS6OoKFoi7oxng_blackmon.jpg),senate,D,21,"Attala,Holmes,Leake,Madison,Yazoo",Sen. 2016-present,,,"Sen. Jud. A,Sen. Medicaid",SB2656,bblackmon@senate.ms.gov,(601) 359-3237,http://billstatus.ls.state.ms.us/members/senate/Blackmon.jpg,http://billstatus.ls.state.ms.us/members/senate/Blackmon.xml
Kevin Blackwell,blackwell.jpg (https://dl.airtable.com/OhufT6jSmj6Zy4r5AKTw_blackwell.jpg),senate,R,,"DeSoto,Marshall",,,,"Sen. Drug Policy,Sen. Jud. B,Sen. Medicaid",SB2033,kblackwell@senate.ms.gov,(601) 359-3234,http://billstatus.ls.state.ms.us/members/senate/Blackwell.jpg,
David Blount,blount.jpg (https://dl.airtable.com/CbxLrhlLS6W24aCSggOc_blount.jpg),senate,D,,Hinds,,,,"Sen. AET,Sen. Jud. B",,dblount@senate.ms.gov,(601) 359-3232,http://billstatus.ls.state.ms.us/members/senate/Blount.jpg,
Jenifer B. Branning,branning.jpg (https://dl.airtable.com/gVWSCTamRSiP4xtwsjPl_branning.jpg),senate,R,18,"Leake,Neshoba,Winston",Sen. 2016-present,,,Sen. Jud. A,,jbranning@senate.ms.gov,(601) 359-3246,http://billstatus.ls.state.ms.us/members/senate/Branning.jpg,http://billstatus.ls.state.ms.us/members/senate/Branning.xml
Nickey Browning,browning.jpg (https://dl.airtable.com/O2PPZknTCPLNsQEnXeyA_browning.jpg),senate,R,,"Benton,Pontotoc,Union",,,,Sen. Drug Policy,,nbrowning@senate.ms.gov,(601) 359-3250,http://billstatus.ls.state.ms.us/members/senate/Browning.jpg,
Hob Bryan,bryan.jpg (https://dl.airtable.com/pXaMClD7QuSNP1ZnrtGg_bryan.jpg),senate,D,,"Itawamba,Lee,Monroe",,Sen. Jud. B,Sen. Medicaid,"Sen. Medicaid,Sen. Jud. B",SB2555,,(601) 359-3237,http://billstatus.ls.state.ms.us/members/senate/Bryan.jpg,
Terry C. Burton,burton.jpg (https://dl.airtable.com/a8FKZfrSCyIjbEVF7U7w_burton.jpg),senate,R,,"Lauderdale,Newton,Scott",,Sen. Rules,,"Sen. AET,Sen. Medicaid",,tburton@senate.ms.gov,(601) 359-3209,http://billstatus.ls.state.ms.us/members/senate/Burton.jpg,
Albert Butler,butler.jpg (https://dl.airtable.com/egDvzPlmSXiubZrMU9Mh_butler.jpg),senate,D,,"Claiborne,Copiah,Hinds,Jefferson",,,,Sen. Drug Policy,SB2656,abutler@senate.ms.gov,(601) 359-3232,http://billstatus.ls.state.ms.us/members/senate/Butler.jpg,
Videt Carmichael,carmichael.jpg (https://dl.airtable.com/PJTDm619SmOXEQmnuy2r_carmichael.jpg),senate,R,,"Clarke,Lauderdale",,,,Sen. Corrections,,vcarmichael@senate.ms.gov,(601) 359-3244,http://billstatus.ls.state.ms.us/members/senate/Carmichael.jpg,
"Joel R. Carter, Jr.",RJdScYEQhiMT7ElMevKg_full_R15dR98LSKOCpHepNNYv_full_Capture.PNG (https://dl.airtable.com/BOvGsWT2SIyGhgdNyPxm_RJdScYEQhiMT7ElMevKg_full_R15dR98LSKOCpHepNNYv_full_Capture.PNG),senate,R,49,Harrison,2018-present,,,"Sen. Jud. A,Sen. Corrections,Sen. Jud. B",,jcarter@senate.ms.gov,,http://billstatus.ls.state.ms.us/members/senate/Carter.jpg,
Chris Caughman,caughman.jpg (https://dl.airtable.com/UaddksFGTObZ3ezISgv5_caughman.jpg),senate,R,,"Copiah,Rankin,Simpson",,,,Sen. Medicaid,,ccaughman@senate.ms.gov,(601) 359-3244,http://billstatus.ls.state.ms.us/members/senate/Caughman.jpg,
Lydia Graves Chassaniol,Chassaniol.jpg (https://dl.airtable.com/j1u8yCYcTWG0igkBTXBN_Chassaniol.jpg),senate,R,,"Attala,Carroll,Grenada,Leflore,Montgomery,Panola,Tallahatchie,Yalobusha",,,Sen. Corrections,"Sen. Drug Policy,Sen. Elections,Sen. Ethics,Sen. PEER",,lchassaniol@senate.ms.gov,(601) 359-3246,http://billstatus.ls.state.ms.us/members/senate/Chassaniol.jpg,
Eugene S. Clarke,clarke.jpg (https://dl.airtable.com/xlY0U0HTSmy5MSqOyiE1_clarke.jpg),senate,R,22,"Bolivar,Humphreys,Madison,Sharkey,Washington,Yazoo",Sen. 2004-present,,,"Sen. AET,Sen. Jud. A,Sen. Medicaid",,bclarke@senate.ms.gov,(601) 359-3250,http://billstatus.ls.state.ms.us/members/senate/Clarke.jpg,http://billstatus.ls.state.ms.us/members/senate/Clarke.xml
Deborah Jeanne Dawkins,dawkins.jpg (https://dl.airtable.com/vQMjwmdnTQeiYDCFsf7I_dawkins.jpg),senate,D,,Harrison,,,,"Sen. Drug Policy,Sen. Medicaid",SB2656,ddawkins@senate.ms.gov,(601) 359-3237,http://billstatus.ls.state.ms.us/members/senate/Dawkins.jpg,
Bob M. Dearing,Dearing.jpg (https://dl.airtable.com/g2swuDlQZCSlqdGVxl8p_Dearing.jpg),senate,D,,"Adams,Amite,Franklin,Pike",,,,,SB2005,bdearing@senate.ms.gov,(601) 359-3244,http://billstatus.ls.state.ms.us/members/senate/Dearing.jpg,
"Dennis DeBar, Jr.",debar.jpg (https://dl.airtable.com/rSuTLB6bSIOZE5uVlTrh_debar.jpg),senate,R,43,"George,Greene,Wayne","Sen. 2016-present,House previous",,,"Sen. Corrections,Sen. Drug Policy,Sen. Jud. A,Sen. Jud. B","HB0600,HB0611,SB2286",ddebar@senate.ms.gov,(601) 359-3221,http://billstatus.ls.state.ms.us/members/senate/DeBar.jpg,http://billstatus.ls.state.ms.us/members/senate/DeBar.xml
Sally Doty,doty.jpg (https://dl.airtable.com/NYRu0J5TS12WMPK94kqg_doty.jpg),senate,R,39,"Copiah,Lawrence,Lincoln,Walthall",Sen. 2012-present,,Sen. Jud. A,"Sen. Drug Policy,Sen. Jud. A",,sdoty@senate.ms.gov,(601) 359-2395,http://billstatus.ls.state.ms.us/members/senate/Doty.jpg,http://billstatus.ls.state.ms.us/members/senate/Doty.xml
Joey Fillingane,fillingane.jpg (https://dl.airtable.com/ZFQUNz3AT8u4EooOZobp_fillingane.jpg),senate,R,41,"Covington,Forrest,JeffDavis,Lamar,Smith","Sen. 2007-present,House 2000-2006",,,"Sen. Jud. A,Sen. Jud. B","SB2036,SB2044",jfillingane@senate.ms.gov,(601) 359-3246,http://billstatus.ls.state.ms.us/members/senate/Fillingane.jpg,http://billstatus.ls.state.ms.us/members/senate/Fillingane.xml
Hillman Terome Frazier,frazier.jpg (https://dl.airtable.com/uEnwpLr4QRqwp9EobBTR_frazier.jpg),senate,D,27,Hinds,"Sen. 1993-present,House 1980-1993",,,Sen. Jud. A,SB2656,hfrazier@senate.ms.gov,(601) 359-3246,http://billstatus.ls.state.ms.us/members/senate/Frazier.jpg,http://billstatus.ls.state.ms.us/members/senate/Frazier.xml
Tommy A. Gollott,Gollott.jpg (https://dl.airtable.com/Tfx51WiZR4OISDABhcAt_Gollott.jpg),senate,R,,Harrison,,Sen. PEER,,"Sen. Elections,Sen. Local & Private,Sen. Rules",,tgollott@senate.ms.gov,(601) 359-2886,http://billstatus.ls.state.ms.us/members/senate/Gollott.jpg,
Lydia Graves Chassaniol,chassaniol.jpg (https://dl.airtable.com/YeGel03TdukOKP02PbSn_chassaniol.jpg),senate,R,,"Attala,Carroll,Grenada,Leflore,Montgomery,Panola,Tallahatchie,Yalobusha",,,Sen. Corrections,"Sen. Corrections,Sen. Drug Policy",,lchassaniol@senate.ms.gov,(601) 359-3246,http://billstatus.ls.state.ms.us/members/senate/Graves.jpg,
Josh Harkins,Harkins.jpg (https://dl.airtable.com/AabIuC0TSdpgwgamqO3Z_Harkins.jpg),senate,R,,Rankin,,,,Sen. Rules,,jharkins@senate.ms.gov,(601) 359-3246,http://billstatus.ls.state.ms.us/members/senate/Harkins.jpg,
Angela Burks Hill,hill.jpg (https://dl.airtable.com/No19WT6tSti8zxJZDNXQ_hill.jpg),senate,R,,"Marion,PearlRiver",,,,Sen. Jud. B,"SB2058,SB2064,SB2066,SB2067,SB2069,SB2070,SB2071,SB2073,SB2086,SB2090",ahill@senate.ms.gov,(601) 359-2886,http://billstatus.ls.state.ms.us/members/senate/Hill.jpg,
W. Briggs Hopson III,hopson.jpg (https://dl.airtable.com/fCVeb7M2QpeY98pwN6n8_hopson.jpg),senate,R,23,"Issaquena,Warren,Yazoo",Sen. 2008-present,Sen. Jud. A,,"Sen. AET,Sen. Jud. A,Sen. Jud. B",SB2286,bhopson@senate.ms.gov,(601) 359-3234,http://billstatus.ls.state.ms.us/members/senate/Hopson.jpg,http://billstatus.ls.state.ms.us/members/senate/Hopson.xml
John Horhn,horhn.jpg (https://dl.airtable.com/HtN0Wa9TAW1a8tPLwO3R_horhn.jpg),senate,D,,"Hinds,Madison",,,,Sen. Ethics,"SB2656,SB2620",jhorhn@senate.ms.gov,(601) 359-3237,http://billstatus.ls.state.ms.us/members/senate/Horhn.jpg,
Billy Hudson,Hudson.jpg (https://dl.airtable.com/n1q5kUGyQ5eVQauHXFLF_Hudson.jpg),senate,R,,"Forrest,Perry",,,House County Affairs,Sen. Edu.,SB2099,bhudson@senate.ms.gov,(601) 359-2395,http://billstatus.ls.state.ms.us/members/senate/Hudson.jpg,
Robert L. Jackson (11th),jackson_(11th).jpg (https://dl.airtable.com/n13JpDRdSgeWdbm75AoA_jackson_(11th).jpg),senate,D,,"Coahoma,Panola,Quitman,Tunica",,,,,"SB2791,SB2791,SB2561,SB2022,SB2023",rjackson@senate.ms.gov,(601) 359-3232,http://billstatus.ls.state.ms.us/members/senate/Jackson_(11th).jpg,
Gary Jackson,jackson_(15th).jpg (https://dl.airtable.com/F07NeCGYQcanh17kkyEq_jackson_(15th).jpg),senate,R,,"Choctaw,Montgomery,Oktibbeha,Webster",,Sen. Local & Private,Sen. Ethics,Sen. PEER,,gjackson@senate.ms.gov,(601) 359-3244,http://billstatus.ls.state.ms.us/members/senate/jackson_(15th).jpg,
Sampson Jackson II (32nd),jackson_(32nd).jpg (https://dl.airtable.com/JF0ZfhCiRkCkJoUlikDY_jackson_(32nd).jpg),senate,D,,"Kemper,Lauderdale,Noxubee,Winston",,Sen. Corrections,,"Sen. Jud. B,Sen. Corrections","SB2512,SB2383,SB2418,SB2447,SB2131,SB2132,SB2133,SB2134",sjackson@senate.ms.gov,(601) 359-2886,http://billstatus.ls.state.ms.us/members/senate/Jackson_(32nd).jpg,
Russell Jolly,Jolly.jpg (https://dl.airtable.com/gRgq6OdTbWCqMapKmUtQ_Jolly.jpg),senate,D,,"Calhoun,Chickasaw,Lee,Pontotoc,Yalobusha",,,,"Sen. Ethics,Sen. County Affairs",,rjolly@senate.ms.gov,(601) 359-2886,http://billstatus.ls.state.ms.us/members/senate/Jolly.jpg,
David Jordan,jordan.jpg (https://dl.airtable.com/W7qeFnKFSJK3wEE0D9P1_jordan.jpg),senate,D,,"Grenada,Holmes,Humphreys,Leflore,Tallahatchie",,Sen. Drug Policy,,Sen. Drug Policy,SB2656,djordan@senate.ms.gov,(601) 359-3244,http://billstatus.ls.state.ms.us/members/senate/Jordan.jpg,
Dean Kirby,kirby.jpg (https://dl.airtable.com/z9FFqaVsRZC8PI5m1YmZ_kirby.jpg),senate,R,30,Rankin,Sen. 1992-present,,,"Sen. Corrections,Sen. Jud. A",,dkirby@senate.ms.gov,(601) 359-3234,http://billstatus.ls.state.ms.us/members/senate/Kirby.jpg,http://billstatus.ls.state.ms.us/members/senate/Kirby.xml
Chris Massey,Massey.jpg (https://dl.airtable.com/2DUX9HhbQTGWIluC8wzy_Massey.jpg),senate,R,,DeSoto,,Sen. Ethics,Sen. Housing,"Sen. Municipalities,Sen. Edu.",,cmassey@senate.ms.gov,(601) 359-3250,http://billstatus.ls.state.ms.us/members/senate/Massey.jpg,
Chris McDaniel,mcdaniel.jpg (https://dl.airtable.com/Rdx3ZZeTwybUAUC123xG_mcdaniel.jpg),senate,R,,"Forrest,Jones",,,Sen. Jud. B,"Sen. Drug Policy,Sen. Jud. B",,cmcdaniel@senate.ms.gov,(601) 359-2395,http://billstatus.ls.state.ms.us/members/senate/McDaniel.jpg,
Chad McMahan,mcmahan.jpg (https://dl.airtable.com/Cu8Sc5BLQ9ie7V7iSICV_mcmahan.jpg),senate,R,6,"Itawamba,Lee",Sen. 2016-present,,,Sen. Jud. A,,cmcmahan@senate.ms.gov,(601) 359-3244,http://billstatus.ls.state.ms.us/members/senate/McMahan.jpg,http://billstatus.ls.state.ms.us/members/senate/McMahan.xml
J. Walter Michel,Michel.jpg (https://dl.airtable.com/1l58rOUHSmahv7YIiflh_Michel.jpg),senate,R,,"Hinds,Madison",,,,,,wmichel@senate.ms.gov,(601) 359-3221,http://billstatus.ls.state.ms.us/members/senate/Michel.jpg,
Philip Moran,Moran.jpg (https://dl.airtable.com/cQ4HA8UQnCtmnaLZIkjI_Moran.jpg),senate,R,,"Hancock,Harrison",,,,,,pmoran@senate.ms.gov,(601) 359-3250,http://billstatus.ls.state.ms.us/members/senate/Moran.jpg,
Sollie B. Norwood,norwood.jpg (https://dl.airtable.com/nvX84LnETWOZPbX5EjgV_norwood.jpg),senate,D,,Hinds,,,,"Sen. Corrections,Sen. Medicaid","SB2491,SB2656,SB2549",snorwood@senate.ms.gov,(601) 359-3221,http://billstatus.ls.state.ms.us/members/senate/Norwood.jpg,
David Parker,parker.jpg (https://dl.airtable.com/xo6kmFBKQMquww6c0j4l_parker.jpg),senate,R,2,DeSoto,Sen. 2013-present,,,Sen. Jud. A,"SB2468,SB2222",dparker@senate.ms.gov,(601) 359-2886,http://billstatus.ls.state.ms.us/members/senate/Parker.jpg,http://billstatus.ls.state.ms.us/members/senate/Parker.xml
Rita Potts Parks,parks.jpg (https://dl.airtable.com/4TVaiqDSNGYFmwp4x75x_parks.jpg),senate,R,,"Alcorn,Tippah",,,,"Sen. AET,Sen. Medicaid",,rparks@senate.ms.gov,(601) 359-3232,http://billstatus.ls.state.ms.us/members/senate/Parks.jpg,
John A. Polk,polk.jpg (https://dl.airtable.com/64GIyFTtGhz3uXXJLCxQ_polk.jpg),senate,R,,"Lamar,PearlRiver",,Sen. AET,,Sen. AET,,jpolk@senate.ms.gov,(601) 359-2395,http://billstatus.ls.state.ms.us/members/senate/Polk.jpg,
Joseph M. Seymour,Seymour.jpg (https://dl.airtable.com/0uUQcAeQjGn9X3qbHf2j_Seymour.jpg),senate,R,,"Jackson,PearlRiver,Stone",,,,,,mseymour@senate.ms.gov,(601) 359-2886,http://billstatus.ls.state.ms.us/members/senate/Seymour.jpg,
Derrick T. Simmons (12th),simmons_(12th).jpg (https://dl.airtable.com/QkLUeFpRWqL56kxrsQXE_simmons_(12th).jpg),senate,D,12,"Bolivar,Coahoma,Washington",Sen. 2011-present,,,"Sen. Corrections,Sen. Jud. A,Sen. Jud. B","SB2339,SB2656,SB2490,SB2791,SB2791,SB2051,SB2408,SB2373,SB2530",dsimmons@senate.ms.gov,(601) 359-3221,http://billstatus.ls.state.ms.us/members/senate/Simmons_(12th).jpg,http://billstatus.ls.state.ms.us/members/senate/Simmons_(12th).xml
Willie Simmons,simmons_(13th).jpg (https://dl.airtable.com/uxa4qgqSQKKhc3z0Ve7U_simmons_(13th).jpg),senate,D,,"Bolivar,Sunflower,Tallahatchie",,,,Sen. Corrections,"SB2656,SB2507",wsimmons@senate.ms.gov,(601) 359-3237,http://billstatus.ls.state.ms.us/members/senate/Simmons_(13th).jpg,
Bill Stone,Stone.jpg (https://dl.airtable.com/gZimbtfSOmJkslS9JLdn_Stone.jpg),senate,D,10,"Marshall,Tate",House 2008-present,,,,,bstone@senate.ms.gov,(601) 359-3221,http://billstatus.ls.state.ms.us/members/senate/Stone.jpg,
Gray Tollison,tollison.jpg (https://dl.airtable.com/t4p7OinuTwOKyFvaMUgI_tollison.jpg),senate,R,,"Lafayette,Panola",,,,Sen. Jud. B,SB2107,gtollison@senate.ms.gov,(601) 359-2395,http://billstatus.ls.state.ms.us/members/senate/Tollison.jpg,
Angela Turner-Ford,turner-ford.jpg (https://dl.airtable.com/5JLSDtFKQUat49YrDB8e_turner-ford.jpg),senate,D,16,"Clay,Lowndes,Noxubee,Oktibbeha",Sen. 2013-present,,,"Sen. AET,Sen. Jud. A,Sen. Jud. B","SB2054,SB2656,SB2283,SB2284,SB2494",aturner@senate.ms.gov,(601) 359-3237,http://billstatus.ls.state.ms.us/members/senate/Turner-Ford.jpg,http://billstatus.ls.state.ms.us/members/senate/Turner-Ford.xml
Michael Watson,watson.jpg (https://dl.airtable.com/8x3zYp0ZQae3zjPwFeEW_watson.jpg),senate,R,,Jackson,,,Sen. Drug Policy,"Sen. Drug Policy,Sen. Jud. B",SC0570,mwatson@senate.ms.gov,(601) 359-2395,http://billstatus.ls.state.ms.us/members/senate/Watson.jpg,
