Location,Capacity_x,1-Apr-17,Unnamed: 3,2-Apr-17,3-Apr-17,4-Apr-17,5-Apr-17,6-Apr-17,7-Apr-17,8-Apr-17,9-Apr-17,10-Apr-17,Capacity_y,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,Capacity,22-Apr-17,23-Apr-17,24-Apr-17,Location.1,Capacity.1,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
