name,position,address,phone,fax,mobile,address2
Herman Cox,Harrison County Prosecuting Attorney,"PO Box 1754, Gulfport 39502",(228) 865-4255,(228) 867-6556,,
,Harrison County Sheriff,,,,,
Beverly Martin,Harrison County Supervisor (D-1),"PO Box 413, Biloxi 39533",(228) 435-8272,(228) 435-8289,,
Connie Rockco,Harrison County Supervisor (D-2)," PO Box 413, Biloxi 39533",(228) 865-4123,(228) 435-8289,,
Angel Kibler-Middleton ,Harrison County Supervisor (D-2)," PO Drawer CC, Gulfport 39502",(228) 865-4122,(228) 865-4206,,
Marlin Ladner,Harrison County Supervisor (D-3)," PO Drawer CC, Gulfport 39502",(228) 867-6528,(228) 865-4162,,
Kent Jones,Harrison County Supervisor (D-4)," PO Drawer CC, Gulfport 39502",(228) 865-4204,(228) 867-6551,,
David LaRosa,Harrison County Tax Collector," PO Box 1270, Gulfport 39502",(228) 865-4039,(228) 865-4180,,
David LaRosa,Harrison County Tax Collector," PO Box 1270, Gulfport 39502",(228) 865-4039,(228) 865-4180,,
Pieter Teeuwissen,Hinds County Board Attorney,"PO Box 686, Jackson 39205",(601) 968-6797,(601) 968-6594,,
Robert Shuler Smith,Hinds County District Attorney,PO Box 22747,(601) 968-6568,(601) 968-6655,,
Martin Perkins (Interim),Hinds County Prosecuting Attorney," PO Box 483, Jackson 39205",(601) 948-5030,(601) 948-5044,,
Charles Edwards,Hinds County Prosecuting Attorney," PO Box 956, Lexington 39095",(662) 843-9029,(662) 834-3117,,
,Hinds County Sheriff,,,,,
Robert Graham.,Hinds County Supervisor (D-1)," PO Box 686, Jackson 39205",(601) 968-6689,,,
Darrel McQuirter,Hinds County Supervisor (D-2)," PO Box 686, Jackson 39205",(601) 968-6690,,,
Peggy Hobson CalhouN,Hinds County Supervisor (D-3)," PO Box 686, Jackson 39205",(601) 968-6768,,,
Mike Morgan,Hinds County Supervisor (D-4)," PO Box 686, Jackson 39205",(601) 857-2622,,,
Bobby McGowan,Hinds County Supervisor (D-5)," PO Box 686, Jackson 39205",(601) 968-6699,,,
Katherine B. Riley,Holmes County Board Attorney," PO Box 927, Lexington 39095",(662) 834-2488,(662) 834-6136,,
Akillie Malone Oliver,Holmes County District Attorney," PO Box 311, Durant 39063 ",(662) 653-3191,(662) 653-6723,,
Noel D. Crook,Holmes County Prosecuting Attorney," PO Box 342, Belzoni 39038",(662) 247-4013,(662) 247-4092,,
Willie E March,Holmes County Sheriff," PO Box 1 20, Lexington 39095",(662) 834-1511,(662) 834-3362,,
Henry Anderson,Holmes County Supervisor (D-1)," PO Box 239, Lexington 39095",(662) 834-0911,(662) 834-3345,,
James H. Young,Holmes County Supervisor (D-2),"144 Wade Green Road, West 39192",(662) 967-2560,(662) 834-3117,,
Debra Mabry,Holmes County Supervisor (D-3)," PO Box 582, Pickens 39460",(662) 502-5214,(662) 834-3117,,
Larry Davis,Holmes County Supervisor (D-4),"729 H. Davis Rd, Tchula 39169",(662) 502-5214,(662) 834-3117,,
Eddie J. Carthan,Holmes County Supervisor (D-5),"PO Box 239, Lexington 3905",(662) 834-0911,(662) 834-3117,,
Willie Bailey,Humphreys County Board Attorney,"PO Box 189, Greenville 38702",(662) 335-1966,(662) 335-1969,,
Akillie Malone Oliver,Humphreys County District Attorney," PO Box 311, Durant 39063 ",(662) 653-3191,(662) 653-6723,,
Charles Weissinger,Humphreys County Prosecuting Attorney," PO Box 215, Rolling Fork 39159",(662) 873-6258,(662) 873-6903,,
J.D. (Bubba) Roseman,Humphreys County Sheriff,"106 Castleman St, Belzoni 39038",(662) 247-2551,(662) 247-3902,,
James Bankhead,Humphreys County Supervisor (D-1),"709 Cohn St, Belzoni 39038",(662) 247-2296,(662) 247-3906,,
R. D. (Dickie) Stevens,Humphreys County Supervisor (D-2),"126 S Belzoni St, Isola 38754",(662) 962-3101,(662) 247-5664,,
Woodrow Johnson Sr,Humphreys County Supervisor (D-3),"Rt. 6 Box 234, Yazoo City 39194.",(662) 746-6645,(662) 247-5664,,
Jerry Wood  ,Humphreys County Supervisor (D-4),"PO Box 375, Belzoni 39038",(662) 247-2285,(662) 247-1853,,
Roy Broomfield. ,Humphreys County Supervisor (D-5),"403 Eisenhower St, Belzoni 39038",(662) 247-3906,(662) 247-5664,,
Charles Weissinger,Issaquena County Board Attorney," PO Box 215, Rolling Fork 39159",(662) 873-6258,(662) 873-6903,,
Angela Williams,Issaquena County Coroner,"PO Box 152, Mayersville 39113",(662) 873-6254,(662) 873-2061,,
Richard (Ricky) Smith Jr,Issaquena County District Attorney," PO Box 648, Vicksburg 39181",(601) 636-5754,(601) 636-8664,,
Michael P. Mills Jr,Issaquena County Prosecuting Attorney," 100 A W Main St, Fulton 38843",(662) 862-5855,(662) 862-5811,,
Richard Jones,Issaquena County Sheriff,"PO Box 147, Mayersville 39113",(662) 873-2781,(662) 873-4500,,
"Lewis Hatcher, President",Issaquena County Supervisor (D-1)," PO Box 27, Mayersville 39113",(662) 873-4316,(662) 873-2061,,
John T. Kerr Jr,Issaquena County Supervisor (D-2),"PO Box 27, Mayersville 39113",(662) 907-1069,(662) 873-2061,,
Stallard Williams,Issaquena County Supervisor (D-3),"PO Box 27, Mayersville 39113",(662) 907-0266,(662) 873-2061,,
Michael Parker,Issaquena County Supervisor (D-4)," PO Box 27, Mayersville 39113",(662) 873-7100,(662) 873-2061,,
"Eddie Holcomb, Vice President",Issaquena County Supervisor (D-5)," PO Box 27, Mayersville 39113",(662) 873-6478,(662) 873-2061,,
Bo Russell,Itawamba County Board Attorney," PO Box 187, Fulton 38843",(662) 862-4656,(662) 862-7159,,
John Weddle,Itawamba County District Attorney,"PO Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,
Shelia Spradling,Itawamba County Justice Court Clerk," 304 W Wiygul St,Ste D, Fulton 38843",(662) 862-4315,(662) 862-5805,,
John Bishop,Itawamba County Justice Court Judge," 304 W Wiygul St,Ste D, Fulton 38843",(662) 862-4315,(662) 862-5805,,
Harold Holcomb,Itawamba County Justice Court Judge," 304 W Wiygul St,Ste D, Fulton 38843.",(662) 862-4315,(662) 862-5805,,
Mark H. Watts,Itawamba County Prosecuting Attorney," PO Drawer 1499, Pascagoula 39568",(228) 762-2373,(228) 769-1417,,
Chris Dickinson,Itawamba County Sheriff," 201 S Cummings St, Fulton 38843 ",(662) 862-3401,(662) 862-3175,,
Michael Nanney,Itawamba County Superintendent of Education,"605 S Cummings St, Fulton 38843",(662) 862-2159,(662) 862-4713,,
Charles Horn,Itawamba County Supervisor (D-1),"PO Box 776, Fulton 38843",(662) 862-5600,(662) 862-3421,,
Cecil (Ike) Johnson Sr,Itawamba County Supervisor (D-2)," PO Box 776, Fulton 38843",(662) 862-5600,(662) 862-3421,,
Steve Moore,Itawamba County Supervisor (D-3)," PO Box 776, Fulton 38843",(662) 862-5600,(662) 862-3421,,
Eric (Tiny) Hughes,Itawamba County Supervisor (D-4),"PO Box 776, Fulton 38843",(662) 862-5600,(662) 862-3421,,
Steve Johnson,Itawamba County Supervisor (D-5),"PO Box 776, Fulton 38843",(662) 862-5600,(662) 862-3421,,
Gary Evans,Jackson County Board Attorney," PO Box 998, Pascagoula 39568-0998",(228) 769-3371,(228) 769-3119,,
Anthony (Tony) Lawrence III,Jackson County District Attorney,"PO Box 1756, Pascagoula 39568-1756",(228) 769-3045,(228) 769-3345,,
Joseph T. (JoJo) Sims,Jackson County Prosecuting Attorney,"PO Box 361, Bay Springs 39422",(601) 784-4497,(601) 764-4499,,
Mike Ezell,Jackson County Sheriff," PO Box 998, Pascagoula 39568-0998",(228) 769-3024,(228) 762-6168,,
Barry Cumbest,Jackson County Supervisor (D-1),"PO Box 998, Pascagoula 39568-0998",(228) 769-3403,(228) 769-3475,,
Melton Harris Jr,Jackson County Supervisor (D-2)," PO Box 998, Pascagoula 39568-0998",(228) 769-3170,(228) 762-6578,,
Kenneth Taylor,Jackson County Supervisor (D-3),"PO Box 998, Pascagoula 39568-0998",(228) 762-7641,(228) 769-3363,,
Troy Ross,Jackson County Supervisor (D-4),"PO Box 998, Pascagoula 39568-0988",(228) 769-3457,(228) 769-3482,,
Randy Bosarge,Jackson County Supervisor (D-5),"PO Box 998, Pascagoula 39568-0998",(228) 769-3378,(228) 696-6500,,
William Ruffin,Jasper County Board Attorney,"PO Box 565, Bay Springs 39422 ",(601) 764-4555,(601) 764-2234,,
Matt Sullivan,Jasper County District Attorney,"100 Court Ave,Ste 4, Mendenhall 39114",(601) 847-1342,(601) 847-3428,,
Jeffery Harness,Jasper County Prosecuting Attorney," PO Box 758, Fayette 39069",(601) 702-1947,,,
Randy Johnson,Jasper County Sheriff," PO Box 464, Bay Springs 39422",(601) 764-2588,(601) 764-4016,,
Eddie Helms,Jasper County Supervisor (D-1),"PO Box 406, Bay Springs 39422 ",(601) 764-3469,(601) 764-3468,,
Sandy Stephens ,Jasper County Supervisor (D-2)," PO Box 406, Bay Springs 39422 ",(601) 764-3469,(601) 764-3468,,
Doug Rogers,Jasper County Supervisor (D-3)," PO Box 406, Bay Springs 39422 ",(601) 764-3469,(601) 764-3468,,
Johnny B. Rowell,Jasper County Supervisor (D-4),"PO Box 406, Bay Springs 39422 ",(601) 764-3469,(601) 764-3468,,
Curtis Gray Sr,Jasper County Supervisor (D-5)," PO Box 406, Bay Springs 39422",(601) 764-3469,(601) 764-3468,,
Everett SanderS ,Jefferson County Board Attorney,"PO Box 565, Natchez 39121",(601) 445-5570,(601) 445-0777,,
Alexander C. Martin,Jefferson County District Attorney,"PO Drawer 767, Hazlehurst 39083",(601) 894-5040,(601) 894-9080,,
Alan BuffingtoN,Jefferson County Prosecuting Attorney,"PO Box 1137, Prentiss 39474",(601) 792-4204,(601) 792-2894,,
Peter E Walker,Jefferson County Sheriff," PO Box 218, Fayette 39069(601) 786-3403",(601) 786-3403,(601) 786-6000,,
James Well.,Jefferson County Supervisor (D-1)," PO Box 145, Fayette 39069",(601) 786-3021,(601) 786-6009,,
Cammie Hutcherson,Jefferson County Supervisor (D-2)," PO Box 145, Fayette 39069",(601) 786-3021,(601) 786-6009,,
Jerry Wilson,Jefferson County Supervisor (D-3),"PO Box 145, Fayette 39069",(601) 786-3021,(601) 786-6009,,
SD. Johnson,Jefferson County Supervisor (D-4)," PO Box 145, Fayette 39069",(601) 786-3021,(601) 786-6009,,
Tracy Collins,Jefferson County Supervisor (D-5),"PO Box 145, Fayette 39069",(601) 786-3021,(601) 786-6009,,
Wes Daughdrill,Jefferson Davis County Board Attorney," PO Box 6005, Ridgeland 39158-6005",(601) 792-8591,(601) 792-0311,,
Hal Kittrell,Jefferson Davis County District Attorney,"500 Courthouse Sq,Ste 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,
M. Wayne Thompson,Jefferson Davis County Prosecuting Attorney," PO Box 6509, Laurel 39441",(601) 426-0056,(601) 426-0058,,
Ron Strickland,Jefferson Davis County Sheriff,"PO Box 339, Prentiss 39474",(601) 792-5169,(601) 792-5980,,
Macon (Corky) Holliman,Jefferson Davis County Supervisor (D-1),"PO Box 1317, Prentiss 39474",(601) 792-4336,(601) 792-4038,,
Charles Reid,Jefferson Davis County Supervisor (D-2),"PO Box 1317, Prentiss 39474",(601) 792-4336,(601) 792-4038,,
John H. Thompson,Jefferson Davis County Supervisor (D-3),"PO Box 1317, Prentiss 39474",(601) 792-4336,(601) 792-4038,,
Michael O. Evans,Jefferson Davis County Supervisor (D-4)," PO Box 1317, Prentiss 39474",(601) 792-4336,(601) 792-4038,,
Bobby R. Rushing,Jefferson Davis County Supervisor (D-5),"PO Box 1317, Prentiss 39474",(601) 792-4336,(601) 792-4038,,
M. Wayne Thompson,Jones County Board Attorney," PO Box 6509, Laurel 39441",(601) 426-0056,(601) 426-0058,,
Anthony J. Buckley,Jones County District Attorney,"PO Box 313, Laurel 39441",(601) 649-4606,(601) 428-3191,,
Marvin Wiggins,Jones County Prosecuting Attorney,"PO Box 188, DeKalb 39328 ",(601) 743-4290,(601) 743-2789,,
,Jones County Sheriff,,,,,
Johnny Burnett,Jones County Supervisor (D-1)," PO Box 1468, Laurel 39441",(601) 428-3139,(601) 428-3602,,
Danny Spradley,Jones County Supervisor (D-2)," PO Box 1468, Laurel 39441",(601) 428-3139,(601) 428-3602,,
Barry E Saul,Jones County Supervisor (D-3)," PO Box 1468, Laurel 39441",(601) 428-3139,(601) 428-3602,,
David Scruggs,Jones County Supervisor (D-4)," PO Box 1468, Laurel 39441",(601) 428-3139,(601) 428-3602,,
Jerome Wyatt,Jones County Supervisor (D-5)," PO Box 1468, Laurel 39441",(601) 428-3139,(601) 428-3602,,
Robert (Bo) Bailey,Kemper County Board Attorney,"PO Box 188, DeKalb 39328 ",(601) 743-4477,(601) 743-5273,,
E. J. (Bilbo) Mitchell,Kemper County District Attorney," PO Box 5163, Meridian 39302",(601) 482-9757,(601) 483-0085,,
Linda Sciple Wright,Kemper County Justice Court Judge," PO Box 661, DeKalb 39328 ",(601) 743-2793,(601) 743-2789,,
Mary Gully,Kemper County Justice Court Judge," PO Box 661, DeKalb 39328 ",(601) 743-2793,(601) 743-2789,,
Bela J. Chain III,Kemper County Prosecuting Attorney,"PO Box 913, Oxford 38655 ",(662) 234-1667,(601) 236-3021,,
James Moore Sr,Kemper County Sheriff," PO Box 188, DeKalb 39328 ",(601) 743-2255,(601) 743-2266,,
James Granger,Kemper County Supervisor (D-1),"PO Box 188, DeKalb 39328 ",(601) 743-4477,(601) 743-2789,,
Johnny B. Whitsett,Kemper County Supervisor (D-2)," PO Box 188, DeKalb 39328 ",(601) 743-4477,(601) 743-2789,,
Justin Creer,Kemper County Supervisor (D-3)," PO Box 188, DeKalb 39328 ",(601) 743-4477,(601) 743-2789,,
Mike Luke,Kemper County Supervisor (D-4)," PO Box 188, DeKalb 39328 ",(601) 743-4477,(601) 743-2789,,
Chris Cole,Kemper County Supervisor (D-5),"PO Box 188, DeKalb 39328 ",(601) 743-4477,(601) 743-2789,,
David O’Donnell,Lafayette County Board Attorney," PO Drawer 676, Oxford 38655",(662) 234-0900,,,
Ben Creekmore,Lafayette County District Attorney,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,
Joseph Parker,Lafayette County Prosecuting Attorney," PO Box 1762 , Purvis 39475",(601) 794-2683,(601) 794-2685,,
F.D. (Buddy) East,Lafayette County Sheriff,"711 Jackson Ave, Oxford 38655",(662) 234-6421,(662) 236-0203,,
Kevin Frye,Lafayette County Supervisor (D-1)," PO Box 1240, Oxford 38655",(662) 236-2717,(662) 234-5402,,
Jeff Busby,Lafayette County Supervisor (D-2)," PO Box 1240, Oxford 38655",(662) 236-2717,(662) 234-5402,,
David Rikard,Lafayette County Supervisor (D-3)," PO Box 1240, Oxford 38655",(662) 236-2717,(662) 234-5402,,
Chad D. McLarty,Lafayette County Supervisor (D-4)," PO Box 1240, Oxford 38655",(662) 236-2717,(662) 234-5402,,
James M. Roberts,Lafayette County Supervisor (D-5)," PO Box 1240, Oxford 38655",(662) 236-2717,(662) 234-5402,,
Perry Phillips,Lamar County Board Attorney,"PO Box 1978, Purvis 39475",(601) 794-4545,(601) 794-1049,,
Hal Kittrell,Lamar County District Attorney,"500 Courthouse Sq,Ste 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,
Justin M. Cobb,Lamar County Prosecuting Attorney,"PO Box 5633, Meridian 39302",(601) 693-1933,(601) 693-1935,,
Danny Rigel ,Lamar County Sheriff,"PO Box 352, Purvis 39475",(601) 794-8504,(601) 794-1002,,
Steve Lampton,Lamar County Supervisor (D-1),"PO Box 1240, Purvis 39475",(601) 794-8504,(601) 794-1049,,
Warren Byrd,Lamar County Supervisor (D-2)," PO Box 1240, Purvis 39475",(601) 794-8504,(601) 794-1049,,
Joe B. Bounds,Lamar County Supervisor (D-3)," PO Box 1240, Purvis 39475",(601) 794-8504,(601) 794-1049,,
Phillip Carlisle,Lamar County Supervisor (D-4)," PO Box 1240, Purvis 39475",(601) 794-8504,(601) 794-1049,,
Dale Lucus,Lamar County Supervisor (D-5)," PO Box 1240, Purvis 39475",(601) 794-8504,(601) 794-1049,,
Rick Barry,Lauderdale County Board Attorney,"PO Box 2009, Meridian 39302",(601) 693-2393,(601) 482-9744,,
Carolyn Mooney,Lauderdale County Chancery Clerk,"PO Box 1587, Meridian 39302-1587",(601) 482-9701,(601) 486-4943,,
Jerry G. Mason,Lauderdale County Chancery Court Judge (D-12),"PO Box 5681, Meridian 39302-5681",(601) 482-9729,,,
Larry Primeaux,Lauderdale County Chancery Court Judge (D-12),"PO Box 5165, Meridian 39302-5165",(601) 482-9729,,,
Justin M. Cobb,Lauderdale County Circuit Court Judge (D-10),"PO Box 5631, Meridian 39302",(601) 482-9741,,,
Lester F. Williamson Jr,Lauderdale County Circuit Court Judge (D-10),"PO Box 86, Meridian 39302",(601) 482-9741,,,
Tommie L. Coker,Lauderdale County Constable (D-1),"4205 50th St, Meridian 39305",(601) 693-4023,(601) 482-9813,,
Ondray M. Harris Sr,Lauderdale County Constable (D-2),"5552 Charlie Dunn Rd, Meridian 39301",(601) 483-7281,(601) 482-9813,,
Lee (Chuck) Roberts Jr,Lauderdale County Constable (D-4),"1069 Lee Roberts Rd. S, Meridian 39301 ",(601) 482-0261,(601) 482-9813,,
Frank M. Coleman,Lauderdale County County Court Judge,"PO Box 5822, Meridian 39302",(601) 482-9756,,,
Veldore F. Young-Graham,Lauderdale County County Court Judge,"PO Box 1970, Meridian 39302",(601) 482-9756,(601) 484-4940,,
Bruce Williams,Lauderdale County County Surveyor,"5418 Locust St, Meridian 39307",(601) 693-6156,,,
E. J. (Bilbo) Mitchell,Lauderdale County District Attorney,"PO Box 5163, Meridian 39302-5127",(601) 482-9757,(601) 483-0085,,
Chuck Overby,Lauderdale County Election Commissioner (D-1)," 2323 39th St, Meridian 39305",(601) 484-3981,,,
Consuella Naylor,Lauderdale County Election Commissioner (D-2),"4427 Experimental Station Rd, Lauderdale 39335 ",(601) 484-3980,,,
Awana Daniel Simmons,Lauderdale County Election Commissioner (D-3),"9505 W Lauderdale Rd, Collinsville 39325",(601) 482-9809,,,
Gloria Dancy,Lauderdale County Election Commissioner (D-4),"1110 39th Ave, Meridian 39307 – 6072",(601) 482-9808,,,
Jeff Tate,Lauderdale County Election Commissioner (D-5)," 5470 Gene Carr Rd, Meridian 39301",(601) 484-3982,,,
Darlene Jones,Lauderdale County Justice Court Clerk,"PO Box 5126, Meridian 39302-5126",(601) 482-9874,(601) 482-9813,,
Richard (Ricky) L. Roberts,Lauderdale County Justice Court Judge,"PO Box 5126, Meridian 39302",(601) 482-9874,(601) 482-9813,,
M. Robbie Robinson,Lauderdale County Justice Court Judge,"PO Box 5126, Meridian 39302",(601) 482-9874,(601) 482-9813,,
Darrell J. Theall,Lauderdale County Justice Court Judge,"PO Box 5126, Meridian 39302",(601) 482-9874,(601) 482-9813,,
Gerald Wayne Thompson,Lauderdale County Justice Court Judge,"PO Box 5126, Meridian 39302",(601) 482-9874,(601) 482-9813,,
Greer Goldman,Lauderdale County Road Manager,"410 Constitution Ave, Meridian 39301",(601) 482-9754,(601) 482-9744,,
William D. (Billy) Sollie,Lauderdale County Sheriff,"410 Constitution Ave, Meridian 39302",(601) 482-9806,(601) 486-4976,,
Randy Hodges,Lauderdale County Superintendent of Education,"PO Box 5498, Meridian 39302-5498",(601) 693-1683,(601) 485-1748,,
Jonathan (Coach) Wells ,Lauderdale County Supervisor (D-1),"410 Constitution Ave, 11th Fl, Meridian 39301",(601) 482-9746,(601) 482-9744,,
Wayman Newell ,Lauderdale County Supervisor (D-2),"410 Constitution Ave, 11th Fl, Meridian 39301",(601) 482-9746,(601) 482-9744,,
Josh Todd,Lauderdale County Supervisor (D-3),"410 Constitution Ave, 11th Fl, Meridian 39301",(601) 482-9746,(601) 482-9744,,
Joe Norwood,Lauderdale County Supervisor (D-4),"410 Constitution Ave, 11th Fl, Meridian 39301",(601) 482-9746,(601) 482-9744,,
Kyle Rutledge,Lauderdale County Supervisor (D-5),"410 Constitution Ave, 11th Fl, Meridian 39301",(601) 482-9746,(601) 482-9744,,
James D. Rainey,Lauderdale County Tax Assessor,"PO Box 687, Meridian 39302-0687",(601) 482-9779,(601) 484-3976,,
Doris Spidle ,Lauderdale County Tax Collector,"PO Box 5205, Meridian 39302-5205",(601) 482-9786,,,
John D. Sutton,Lawrence County Board Attorney," PO Box 1157, Monticello 39654",(601) 587-7900,(601) 587-7916,,
Hal Kittrell,Lawrence County District Attorney,"500 Courthouse Sq,Ste 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,
Damond Ready,Lawrence County Prosecuting Attorney," PO Box 958, Monticello 39654",(601) 587-0029,(601) 587-0740,,
Lessie Butler,Lawrence County Sheriff," PO Box 816, Monticello 39654",(601) 587-2961,(601) 587-4740,,
Steve Garrett,Lawrence County Supervisor (D-1)," PO Box 1160, Monticello 39654",(601) 587-7351,(601) 587-0750,,
Billy Joe Boutwell,Lawrence County Supervisor (D-2),"PO Box 1160, Monticello 39654",(601) 587-7351,(601) 587-0750,,
Jerry Wayne Smithie,Lawrence County Supervisor (D-3)," PO Box 1160, Monticello 39654",(601) 587-7351,(601) 587-0750,,
Stanely Stephens,Lawrence County Supervisor (D-4)," PO Box 1160, Monticello 39654",(601) 587-7351,(601) 587-0750,,
Coach Archie Ross,Lawrence County Supervisor (D-5)," PO Box 1160, Monticello 39654",(601) 587-7351,(601) 587-0750,,
Jeff Webb,Leake County Board Attorney,"PO Box 452, Carthage 39051",(601) 267-9762,(601) 267-6132,,
Steven S Kilgore,Leake County District Attorney," PO Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,
Carmen Wright,Leake County Prosecuting Attorney," PO Box 436, Carthage 39051",(601) 267-8061,(601) 267-7302,,
Greg Waggoner,Leake County Sheriff,"316 C.O. Brooks St, Carthage 39051",(601) 267-7361,(601) 267-4658,,
Tony M. Smith,Leake County Supervisor (D-1),"PO Box 595, Carthage 39051",(601) 267-8002,(601) 267-6132,,
Joe Andy Helton,Leake County Supervisor (D-2)," PO Box 595, Carthage 39051",(601) 267-8002,(601) 267-6132,,
Oliver Smith,Leake County Supervisor (D-3),"PO Box 595, Carthage 39051",(601) 267-8002,(601) 267-6132,,
Lucas Brown,Leake County Supervisor (D-4)," PO Box 595, Carthage 39051",(601) 267-8002,(601) 267-6132,,
Curtis Johnson,Leake County Supervisor (D-5)," PO Box 595, Carthage 39051",(601) 267-8002,(601) 267-6132,,
Gary Carnathan  ,Lee County Board Attorney,"PO Box 70, Tupelo 38802",(662) 842-3321,(662) 842-3324,,
John Weddle,Lee County District Attorney,"PO Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,
James D. Moore,Lee County Prosecuting Attorney,"PO Box 911, Tupelo 38802.",(662) 840-8141,(662) 840-8140,,
Jim Howell Johnson,Lee County Sheriff," 510 N Commerce, Tupelo 38804",(662) 841-9040,(662) 841-9044,,
Phil Morgan,Lee County Supervisor (D-1)," PO Box 1785, Tupelo 38802",(662) 432-2000,(662) 840-4275,,
Mike Smith,Lee County Supervisor (D-2)," PO Box 1785, Tupelo 38802",(662) 432-2000,(662) 840-4275,,
Tony Roper.,Lee County Supervisor (D-3)," PO Box 1785, Tupelo 38802",(662) 432-2000,(662) 840-4275,,
Tommie Lee Ivy,Lee County Supervisor (D-4)," PO Box 1785, Tupelo 38802",(662) 432-2000,(662) 840-4275,,
Billy Joe Holland,Lee County Supervisor (D-5)," PO Box 1785, Tupelo 38802",(662) 432-2000,(662) 840-4275,,
Joyce Chiles,Leflore County Board Attorney," PO Box 250, Greenwood 38935",(662) 822-5940,(662) 455-7965,,
W Dewayne Richardson,Leflore County District Attorney," PO Box 426, Greenville 38702",(662) 378-2105,(662) 332-4665,,
Richard A. Oakes,Leflore County Prosecuting Attorney,"PO Drawer 1640, Greenwood 38935",(662) 453-7373,(662) 453-7378,,
Fredrick L. (Ricky) Banks,Leflore County Sheriff," PO Box 905, Greenwood 38935",(662) 453-5141,(662) 453-2221,,
Sam Abraham,Leflore County Supervisor (D-1)," PO Box 250, Greenwood 38935",(662) 455-3904,(662) 455-7965,,
Robert Moore,Leflore County Supervisor (D-2),"PO Box 250, Greenwood 38935",(662) 455-3904,(662) 455-7965,,
Anjuan Brown,Leflore County Supervisor (D-3),"PO Box 250, Greenwood 38935",(662) 455-3904,(662) 455-7965,,
Wayne Self.,Leflore County Supervisor (D-4),"PO Box 250, Greenwood 38935",(662) 455-3904,(662) 455-7965,,
Robert L. Collins,Leflore County Supervisor (D-5),"PO Box 250, Greenwood 38935",(662) 455-3904,(662) 455-7965,,
Robert Allen,Lincoln County Board Attorney,"PO Box 751, Brookhaven 39602",(601) 833-4361,(601) 833-6647,,
Dewitt (Dee) T. Bates Jr.,Lincoln County District Attorney,"284 E Bay St, Magnolia 39652",(601) 783-6677,(601) 783-5646,,
W Brady Kellems,Lincoln County Prosecuting Attorney," PO Box 1406, Brookhaven 39602",(601) 835-2900,(601) 833-7174,,
Steve Henry Rushing ,Lincoln County Sheriff,"PO Box 587, Brookhaven 39602",(601) 833-5231,(601) 833-4492,,
Jerry L. Wilson,Lincoln County Supervisor (D-1)," 116 St. George St, Brookhaven 39601",(601) 833-7172,(601) 835-3423,,
Bobby Watts,Lincoln County Supervisor (D-2)," PO Box 555, Brookhaven 39602",(601) 833-5820,(601) 835-3423,,
Nolan Earl Williamson,Lincoln County Supervisor (D-3)," 2451 Pleasant Hill Dr, Bogue Chitto 39629",(601) 734-2325,(601) 835-3423,,
C.E. (Eddie) Brown,Lincoln County Supervisor (D-4)," 3125 Maude LN SW, Bogue Chitto 39629",(601) 734-6455,(601) 835-3423,,
Doug Falvey,Lincoln County Supervisor (D-5)," PO Box 55, Brookhaven 39601",(601) 833-2680,(601) 835-3423,,
Tim Hudson,Lowndes County Board Attorney," PO Box 1364, Columbus 39703 ",(662) 328-2711,(662) 328-0745,,
Scott Colom,Lowndes County District Attorney," P.O Box 1044, Columbus 39703",(662) 329-5911,(662) 327-1854,,
Allison Pritchard Kizer,Lowndes County Prosecuting Attorney,"PO Box 291, Columbus 39703",(662) 329-4474,(662) 329-3030,,
Mike Arledge,Lowndes County Sheriff," PO Box 2341, Columbus 39704 ",(662) 329-5826,(662) 244-0769,,
Harry S Sanders,Lowndes County Supervisor (D-1)," PO Box 1364, Columbus 39703 ",(662) 329-5844,(662) 329-5881,,
Bill Brigham,Lowndes County Supervisor (D-2)," PO Box 1364, Columbus 39703 ",(662) 329-5844,(662) 329-5881,,
John Holliman,Lowndes County Supervisor (D-3),"PO Box 1364, Columbus 39703 ",(662) 329-5844,(662) 329-5881,,
Jeff A. Smith,Lowndes County Supervisor (D-4),"PO Box 1364, Columbus 39703 ",(662) 329-5844,(662) 329-5881,,
Leroy Brooks,Lowndes County Supervisor (D-5),"PO Box 1364, Columbus 39703 ",(662) 329-5844,(662) 329-5881,,
Michael Guest,Madison County District Attorney," PO Box 121, Canton 39046",(601) 859-7838,(601) 859-8880,,
Pamela Hancock,Madison County Prosecuting Attorney," 2961 South Liberty St, Canton 39046",(601) 855-5735,(601) 859-5878,,
Randall Tucker,Madison County Sheriff,"2941 S Liberty St, Canton 39046-8665",(601) 859-2345,(601) 859-5805,,
Sheila Jones,Madison County Supervisor (D-1)," PO Box 608, Canton 39046",(601) 855-5500,(601) 859-5875,,
Trey Baxter.,Madison County Supervisor (D-2)," PO Box 608, Canton 39046",(601) 855-5500,(601) 859-5875,,
Gerald Steen,Madison County Supervisor (D-3),"PO Box 608, Canton 39046",(601) 855-5500,(601) 859-5875,,
David Bishop,Madison County Supervisor (D-4),"PO Box 608, Canton 39046",(601) 855-5500,(601) 859-5875,,
